county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_19_community_level,date_updated
Mercer County,54055,West Virginia,58758,39,"Mercer, WV - Tazewell, VA",144261,4.1,9,246.77,Medium,2022-06-16T07:00:00Z
Aleutians West Census Area,02016,Alaska,5634,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",547697,3.3,8.8,283.99,Medium,2022-06-23T07:00:00Z
Adams County,55001,Wisconsin,20220,391,"Juneau, WI - Adams, WI",46907,0.8,4.3,118.69,Low,2022-06-02T07:00:00Z
Roosevelt County,30085,Montana,11004,779,"Roosevelt, MT - Valley, MT",18400,1.1,38,245.37,High,2022-03-10T07:00:00Z
Grant County,53025,Washington,97733,747,"Grant, WA - Chelan, WA",260605,2.2,4.6,97.2,Low,2022-05-26T07:00:00Z
Berkshire County,25003,Massachusetts,124944,112,"Berkshire (Pittsfield), MA - Columbia, NY",231593,4.8,8.6,68.83,Low,2022-07-14T07:00:00Z
Young County,48503,Texas,18010,420,"Wichita (Wichita Falls), TX - Montague, TX",197756,0.4,0.5,22.21,Low,2022-06-02T07:00:00Z
Freestone County,48161,Texas,19717,489,"Navarro, TX - Freestone, TX",69830,1.3,2.9,142.01,Low,2022-07-28T07:00:00Z
Plymouth County,19149,Iowa,25177,560,"Woodbury (Sioux City), IA - Plymouth, IA",207500,0.6,2.9,19.86,Low,2022-05-12T07:00:00Z
Walton County,13297,Georgia,94593,153,"Fulton (Atlanta), GA - DeKalb, GA",3830463,4.8,8.9,137.43,Low,2022-06-23T07:00:00Z
Barrow County,13013,Georgia,83240,164,"Clarke (Athens), GA - Barrow, GA",407567,2,3.2,118.93,Low,2022-06-09T07:00:00Z
Arroyo Muni,72015,Puerto Rico,17238,904,Puerto Rico,3193694,2.8,7.6,1583.71,Medium,2022-05-12T07:00:00Z
Ottawa County,40115,Oklahoma,31127,414,"Tulsa (Tulsa), OK - Rogers, OK",901902,1,2.3,6.43,Low,2022-04-14T07:00:00Z
Jim Wells County,48249,Texas,40482,437,"Nueces (Corpus Christi), TX - San Patricio, TX",554557,8,12.4,476.76,High,2022-07-07T07:00:00Z
El Paso County,08041,Colorado,720403,754,"El Paso (Colorado Springs), CO - Teller, CO",760420,0.7,0.7,24.85,Low,2022-04-07T07:00:00Z
Bent County,08011,Colorado,5577,745,"Otero, CO - Prowers, CO",43494,0.5,2.3,35.86,Low,2022-05-12T07:00:00Z
Crawford County,29055,Missouri,23920,581,"Cole, MO - Callaway, MO",224177,1.1,1.3,33.44,Low,2022-05-12T07:00:00Z
Kinney County,48271,Texas,3667,516,"Maverick, TX - Val Verde, TX",111414,3.8,6.3,136.35,Low,2022-08-11T07:00:00Z
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.8,3.7,100.03,Low,2022-04-07T07:00:00Z
Bedford County,42009,Pennsylvania,47888,57,"Cambria, PA - Blair (Altoona), PA",373356,3.1,7.2,45.94,Low,2022-06-30T07:00:00Z
Lee County,13177,Georgia,29992,144,"Dougherty (Albany), GA - Lee, GA",175755,1.1,0,23.34,Low,2022-04-28T07:00:00Z
Gregory County,46053,South Dakota,4185,595,"Todd, SD - Tripp, SD",23783,0,0,23.89,Low,2022-06-09T07:00:00Z
Stark County,38089,North Dakota,31489,605,"Stark, ND - Dunn, ND",38602,3.4,5.2,12.7,Low,2022-05-05T07:00:00Z
Loíza Muni,72087,Puerto Rico,24553,904,Puerto Rico,3193694,1.6,2.4,24.44,Low,2022-02-24T07:00:00Z
Crawford County,19047,Iowa,16820,681,"Crawford, IA",16820,0,0,35.67,Low,2022-04-07T07:00:00Z
Clay County,18021,Indiana,26225,311,"Vigo (Terre Haute), IN - Clay, IN",201808,0.7,1,7.63,Low,2022-03-31T07:00:00Z
Wells County,18179,Indiana,28296,332,"Huntington, IN - Adams, IN",121029,4.3,7.4,173.17,Low,2022-08-25T07:00:00Z
Knox County,21121,Kentucky,31145,51,"Laurel, KY - Whitley, KY",148123,5.2,23.0,831.59,High,2022-08-25T07:00:00Z
Galveston County,48167,Texas,342139,532,"Galveston, TX",342139,4.6,8.8,86.81,Low,2022-03-17T07:00:00Z
Freeborn County,27047,Minnesota,30281,646,"Freeborn, MN - Faribault, MN",43934,4.7,11.4,112.28,Medium,2022-05-05T07:00:00Z
Pulaski County,17153,Illinois,5335,563,"Cape Girardeau, MO - Butler, MO",310071,3.9,13.5,356.14,High,2022-07-14T07:00:00Z
DeKalb County,47041,Tennessee,20490,211,"Rutherford (Murfreesboro), TN - Warren, TN",414602,6.8,5.8,244.02,Medium,2022-08-04T07:00:00Z
Cook County,13075,Georgia,17270,180,"Lowndes, GA - Brooks, GA",183959,0.5,2.2,5.79,Low,2022-04-28T07:00:00Z
Washington County,39167,Ohio,59911,34,"Wood (Parkersburg), WV - Washington, OH",215637,3,10.2,90.13,Medium,2022-06-16T07:00:00Z
Martin County,18101,Indiana,10255,310,"Knox, IN - Daviess, IN",126934,0.5,1.6,9.75,Low,2022-03-24T07:00:00Z
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.7,11.1,156.55,Medium,2022-08-25T07:00:00Z
Roane County,54087,West Virginia,13688,34,"Wood (Parkersburg), WV - Washington, OH",215637,0.7,2.8,21.92,Low,2022-04-28T07:00:00Z
Summit County,08117,Colorado,31011,688,"Denver (Denver), CO - Jefferson, CO",2943519,0.8,2.3,125.76,Low,2022-04-21T07:00:00Z
Douglas County,41019,Oregon,110980,782,"Lane (Eugene), OR - Douglas, OR",493047,4.8,5.3,69.38,Low,2022-03-17T07:00:00Z
Orleans County,36073,New York,40352,54,"Erie (Buffalo), NY - Monroe, NY",2070158,4.1,9.8,84.26,Low,2022-08-18T07:00:00Z
Alleghany County,37005,North Carolina,11137,73,"Carroll, VA - Grayson, VA",62825,2,17.5,242.44,High,2022-06-02T07:00:00Z
Winneshiek County,19191,Iowa,19991,395,"Winneshiek, IA",19991,3.4,15,110.05,Medium,2022-05-26T07:00:00Z
Upshur County,48459,Texas,41753,454,"Gregg (Longview), TX - Rusk, TX",243298,2.1,0.4,141.31,Low,2022-03-17T07:00:00Z
Beaufort County,45013,South Carolina,192122,143,"Chatham (Savannah), GA - Beaufort, SC",732482,3.9,8.6,182.7,Low,2022-06-30T07:00:00Z
Grant County,55043,Wisconsin,51439,301,"Dane (Madison), WI - Sauk, WI",776612,4.6,7.5,231.34,Medium,2022-07-14T07:00:00Z
Corson County,46031,South Dakota,4086,648,"Dewey, SD - Walworth, SD",18942,0,0,0,Low,2022-03-24T07:00:00Z
Clallam County,53009,Washington,77331,785,"Clallam, WA - Jefferson, WA",109552,0.8,1.8,32.33,Low,2022-04-21T07:00:00Z
Burke County,37023,North Carolina,90485,229,"Catawba (Hickory), NC - Burke, NC",332214,2.9,6.6,55.26,Low,2022-03-31T07:00:00Z
White County,17193,Illinois,13537,383,"White, IL - Hamilton, IL",21653,0,0,14.77,Low,2022-05-19T07:00:00Z
Henry County,17073,Illinois,48913,307,"Rock Island (Moline), IL - Henry, IL",211571,4.3,5.7,265.78,Medium,2022-07-28T07:00:00Z
Aibonito Muni,72009,Puerto Rico,22108,904,Puerto Rico,3193694,0.4,1.5,36.19,Low,2022-03-24T07:00:00Z
Latimer County,40077,Oklahoma,10073,466,"Pittsburg, OK - Pushmataha, OK",64823,0,0,0,Low,2022-04-07T07:00:00Z
Winn Parish,22127,Louisiana,13904,530,"Winn, LA",13904,4.3,14.4,143.84,Medium,2022-03-03T07:00:00Z
Schleicher County,48413,Texas,2793,426,"Tom Green (San Angelo), TX - Runnels, TX",162408,3.2,9.9,250.63,Medium,2022-08-11T07:00:00Z
Williams County,38105,North Dakota,37589,579,"Williams, ND - McKenzie, ND",54877,1.9,5.5,71.83,Low,2022-06-02T07:00:00Z
De Witt County,17039,Illinois,15638,338,"McLean (Bloomington), IL - Woodford, IL",225614,3.7,6.2,140.68,Low,2022-02-24T07:00:00Z
Bayamón Muni,72021,Puerto Rico,169269,904,Puerto Rico,3193694,3.8,9.5,593.14,Medium,2022-08-04T07:00:00Z
Nobles County,27105,Minnesota,21629,619,"Nobles, MN - Cottonwood, MN",50865,2.3,9.8,194.18,Low,2022-07-21T07:00:00Z
Beauregard Parish,22011,Louisiana,37497,470,"Calcasieu (Lake Charles), LA - Vernon, LA",326703,6.3,28.2,424.03,High,2022-07-21T07:00:00Z
Panola County,28107,Mississippi,34192,146,"Shelby (Memphis), TN - DeSoto, MS",1340541,1.1,2.3,78.97,Low,2022-05-12T07:00:00Z
Bingham County,16011,Idaho,46811,696,"Bannock, ID - Bingham, ID",153986,1,2.6,40.59,Low,2022-04-28T07:00:00Z
Bryan County,40013,Oklahoma,47995,436,"Grayson (Sherman), TX - Bryan, OK",233479,0.4,1.7,29.17,Low,2022-05-12T07:00:00Z
Cleveland County,05025,Arkansas,7956,473,"Jefferson (Pine Bluff), AR - Drew, AR",128147,0.7,1.6,12.57,Low,2022-03-24T07:00:00Z
Pendleton County,54071,West Virginia,6969,63,"Rockingham, VA - Harrisonburg City, VA",165835,2.3,6,71.75,Low,2022-04-07T07:00:00Z
Garfield County,49017,Utah,5051,707,"Clark (Las Vegas), NV - Washington, UT",2511266,5.6,14.3,118.79,Medium,2022-06-23T07:00:00Z
Terrell County,48443,Texas,776,492,"Midland (Midland), TX - Pecos, TX",202859,0.1,1.5,0,Low,2022-06-16T07:00:00Z
McCook County,46087,South Dakota,5586,544,"Minnehaha (Sioux Falls), SD - Lincoln, SD",335949,3,11,89.51,Medium,2022-07-14T07:00:00Z
Pima County,04019,Arizona,1047279,700,"Pima (Tucson), AZ - Cochise, AZ",1268034,1.2,4,50.23,Low,2022-04-07T07:00:00Z
Columbia County,12023,Florida,71686,159,"Alachua (Gainesville), FL - Columbia, FL",528345,6.2,26.5,90.67,High,2022-03-03T07:00:00Z
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10,21.2,565.37,High,2022-07-21T07:00:00Z
Hot Spring County,05059,Arkansas,33771,448,"Garland, AR - Hot Spring, AR",175181,1.4,0.6,11.84,Low,2022-04-21T07:00:00Z
Randall County,48381,Texas,137713,405,"Potter (Amarillo), TX - Randall, TX",350272,1.4,0.9,10.89,Low,2022-04-07T07:00:00Z
Polk County,47139,Tennessee,16832,173,"Bradley, TN - Gilmer, GA",182499,0.7,0.5,17.82,Low,2022-04-14T07:00:00Z
Monroe County,12087,Florida,74228,200,"Miami-Dade (Miami), FL - Broward, FL",4743946,6.6,19.2,144.15,Medium,2022-08-18T07:00:00Z
Bourbon County,21017,Kentucky,19788,102,"Bourbon (Paris), KY - Nicholas, KY",27057,0.9,0,50.54,Low,2022-05-05T07:00:00Z
Boone County,19015,Iowa,26234,606,"Story, IA - Boone, IA",167532,0.2,0.6,15.25,Low,2022-04-07T07:00:00Z
Douglas County,20045,Kansas,122259,624,"Johnson (Overland Park), KS - Douglas, KS",792299,3,10.2,238.02,High,2022-07-28T07:00:00Z
Hot Spring County,05059,Arkansas,33771,448,"Garland, AR - Hot Spring, AR",175181,8.3,8,186.55,Low,2022-03-03T07:00:00Z
St. Francis County,05123,Arkansas,24994,499,"Crittenden (West Memphis), AR - St. Francis, AR",98225,2.4,4.1,304.07,Medium,2022-06-30T07:00:00Z
Fairfield County,45039,South Carolina,22347,160,"Richland (Columbia), SC - Lexington, SC",775296,0.7,2.6,13.42,Low,2022-04-14T07:00:00Z
Lincoln Parish,22061,Louisiana,46742,439,"Lincoln, LA - Union, LA",97835,0.7,6.1,233.19,Medium,2022-06-30T07:00:00Z
Miller County,05091,Arkansas,43257,404,"Bowie (Texarkana), TX - Miller, AR",248210,1.2,4,122.52,Low,2022-06-23T07:00:00Z
Paulding County,13223,Georgia,168667,190,"Cobb (Marietta), GA - Cherokee, GA",1366515,6.7,11.6,179.64,Medium,2022-06-30T07:00:00Z
Granite County,30039,Montana,3379,713,"Missoula, MT - Ravalli, MT",213753,2.7,19.2,147.97,Medium,2022-06-09T07:00:00Z
Boone County,18011,Indiana,67843,401,"Boone, IN",67843,1.4,1.5,114.97,Low,2022-05-19T07:00:00Z
Wood County,54107,West Virginia,83518,34,"Wood (Parkersburg), WV - Washington, OH",215637,11.1,23.7,204.75,High,2022-03-03T07:00:00Z
Arenac County,26011,Michigan,14883,342,"Bay (Bay City), MI - Iosco, MI",172374,4.1,7.0,181.42,Low,2022-09-01T07:00:00Z
Skagway Muny,02230,Alaska,1183,818,"Juneau City and Borough, AK - Sitka City and Borough, AK",46907,5.2,10.7,253.59,High,2022-08-11T07:00:00Z
Calhoun County,19025,Iowa,9668,633,"Carroll, IA - Sac, IA",39554,0,2.5,20.69,Low,2022-04-07T07:00:00Z
Pike County,18125,Indiana,12389,310,"Knox, IN - Daviess, IN",126934,0.7,2.4,80.72,Low,2022-05-05T07:00:00Z
Dawson County,13085,Georgia,26108,157,"Hall, GA - Habersham, GA",396067,3.8,5.3,149.38,Low,2022-06-09T07:00:00Z
Itawamba County,28057,Mississippi,23390,418,"Lee, MS - Monroe, MS",186307,0.1,0.5,72.68,Low,2022-03-31T07:00:00Z
Silver Bow County,30093,Montana,34915,742,"Silver Bow, MT - Deer Lodge, MT",53508,4.3,11.2,126.02,Medium,2022-08-18T07:00:00Z
Sheridan County,38083,North Dakota,1315,543,"Burleigh (Bismarck), ND - Morton, ND",157852,2,11.4,0,Medium,2022-06-16T07:00:00Z
Lamb County,48279,Texas,12893,406,"Lubbock (Lubbock), TX - Hockley, TX",391318,4.3,6.1,170.64,Low,2022-03-10T07:00:00Z
Morton County,20129,Kansas,2587,587,"Seward, KS - Texas, OK",46135,0.4,4.3,0,Low,2022-05-05T07:00:00Z
Love County,40085,Oklahoma,10253,474,"Carter, OK - Marshall, OK",86380,5.6,13.9,331.61,High,2022-08-04T07:00:00Z
Cherokee County,48073,Texas,52646,509,"Anderson, TX - Cherokee, TX",133349,0.7,11.2,62.68,Medium,2022-06-23T07:00:00Z
Ritchie County,54085,West Virginia,9554,34,"Wood (Parkersburg), WV - Washington, OH",215637,0.7,2.8,41.87,Low,2022-04-28T07:00:00Z
Robertson County,21201,Kentucky,2108,119,"Harrison, KY - Robertson, KY",20994,3.1,0,47.44,Low,2022-03-17T07:00:00Z
Wasatch County,49051,Utah,34091,708,"Salt Lake (Salt Lake City), UT - Tooele, UT",1364604,4.2,11.4,255.2,High,2022-07-21T07:00:00Z
Cass County,26027,Michigan,51787,327,"Berrien (Benton Harbor), MI - Van Buren, MI",280865,11.7,9.3,52.14,Medium,2022-03-03T07:00:00Z
Perry County,29157,Missouri,19136,563,"Cape Girardeau, MO - Butler, MO",310071,6.1,18.4,329.22,High,2022-07-28T07:00:00Z
Pipestone County,27117,Minnesota,9126,544,"Minnehaha (Sioux Falls), SD - Lincoln, SD",335949,5.9,18.8,175.32,Medium,2022-08-18T07:00:00Z
Lorain County,39093,Ohio,309833,366,"Lorain (Lorain), OH - Erie, OH",500883,4.2,13.6,284.35,High,2022-07-28T07:00:00Z
Deer Lodge County,30023,Montana,9140,742,"Silver Bow, MT - Deer Lodge, MT",53508,1.8,5.6,448.58,Medium,2022-03-10T07:00:00Z
Gentry County,29075,Missouri,6571,591,"Buchanan (St. Joseph), MO - Nodaway, MO",164251,6.2,25.6,304.37,High,2022-07-21T07:00:00Z
Refugio County,48391,Texas,6948,433,"Victoria (Victoria), TX - Calhoun, TX",183054,0.5,2.7,129.53,Low,2022-06-02T07:00:00Z
Greene County,01063,Alabama,8111,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL",252047,4.1,2.8,73.97,Low,2022-03-03T07:00:00Z
Sheridan County,31161,Nebraska,5246,623,"Shannon, SD - Dawes, NE",32543,2.6,9.2,228.75,Medium,2022-08-04T07:00:00Z
Lenoir County,37107,North Carolina,55949,238,"Wayne, NC - Lenoir, NC",258890,18,13.5,223.42,High,2022-02-24T07:00:00Z
Douglas County,08035,Colorado,351154,688,"Denver (Denver), CO - Jefferson, CO",2943519,0.8,1.7,59.23,Low,2022-04-14T07:00:00Z
Leflore County,28083,Mississippi,28183,487,"Bolivar, MS - Leflore, MS",91985,0.2,1.1,7.1,Low,2022-03-31T07:00:00Z
Comal County,48091,Texas,156209,517,"Comal, TX",156209,4.4,0,175.41,Low,2022-03-10T07:00:00Z
Bartholomew County,18005,Indiana,83779,313,"Bartholomew, IN - Jackson, IN",182304,0.7,4.4,59.68,Low,2022-05-05T07:00:00Z
Vigo County,18167,Indiana,107038,311,"Vigo (Terre Haute), IN - Clay, IN",201808,1,4.5,99.03,Low,2022-05-26T07:00:00Z
Hancock County,21091,Kentucky,8722,316,"Daviess (Owensboro), KY - Ohio, KY",162603,1.2,4.3,22.93,Low,2022-04-07T07:00:00Z
Dare County,37055,North Carolina,37009,264,"Pasquotank, NC - Dare, NC",101163,1.3,1.0,102.68,Low,2022-09-01T07:00:00Z
Scott County,19163,Iowa,172943,641,"Scott (Davenport), IA - Muscatine, IA",215607,2.9,7.9,208.16,Medium,2022-08-25T07:00:00Z
Calhoun County,19025,Iowa,9668,633,"Carroll, IA - Sac, IA",39554,0.3,2.5,124.12,Low,2022-05-26T07:00:00Z
Manatí Muni,72091,Puerto Rico,37287,904,Puerto Rico,3193694,4.3,8.9,699.98,Medium,2022-06-16T07:00:00Z
Vernon County,29217,Missouri,20563,639,"Vernon, MO - Cedar, MO",34912,0,0,43.77,Low,2022-04-21T07:00:00Z
Atoka County,40005,Oklahoma,13758,436,"Grayson (Sherman), TX - Bryan, OK",233479,8.2,6,392.5,Medium,2022-02-24T07:00:00Z
St. Clair County,29185,Missouri,9397,607,"Henry, MO - Bates, MO",47393,1.8,12.7,106.42,Medium,2022-07-07T07:00:00Z
Dickinson County,20041,Kansas,18466,650,"Geary, KS - Dickinson, KS",55756,0.7,0,32.49,Low,2022-03-10T07:00:00Z
Douglas County,55031,Wisconsin,43150,289,"St. Louis (Duluth), MN - Itasca, MN",381133,3.7,6.8,83.43,Low,2022-09-01T07:00:00Z
Barren County,21009,Kentucky,44249,53,"Barren, KY - Hart, KY",84005,10.2,25,390.97,High,2022-02-24T07:00:00Z
Greene County,29077,Missouri,293086,549,"Greene (Springfield), MO - Christian, MO",695270,12,18.7,154.9,Medium,2022-02-24T07:00:00Z
Houston County,13153,Georgia,157863,193,"Bibb (Macon), GA - Houston, GA",456389,5.2,1.8,57.01,Low,2022-03-03T07:00:00Z
Kittitas County,53037,Washington,47935,739,"Yakima (Yakima), WA - Kittitas, WA",298808,6.3,5.4,91.79,Low,2022-08-11T07:00:00Z
Putnam County,29171,Missouri,4696,566,"Adair, MO - Sullivan, MO",49649,0.2,2,21.29,Low,2022-03-17T07:00:00Z
Santa Fe County,35049,New Mexico,150358,724,"Santa Fe (Santa Fe), NM - Rio Arriba, NM",241371,2.3,3.3,160.28,Low,2022-05-12T07:00:00Z
Smith County,48423,Texas,232751,441,"Smith (Tyler), TX - Henderson, TX",417617,1.2,2.2,12.46,Low,2022-04-28T07:00:00Z
Crawford County,05033,Arkansas,63257,421,"Sebastian (Fort Smith), AR - Crawford, AR",344595,2.3,2.3,7.9,Low,2022-04-14T07:00:00Z
Benton County,53005,Washington,204390,702,"Benton (Kennewick), WA - Franklin, WA",299612,1.5,5,51.37,Low,2022-05-05T07:00:00Z
Lafayette County,05073,Arkansas,6624,404,"Bowie (Texarkana), TX - Miller, AR",248210,7.7,10.5,105.68,Medium,2022-02-24T07:00:00Z
Virginia Beach City,51810,Virginia,449974,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.1,4.7,55.78,Low,2022-03-03T07:00:00Z
Wrangell City and Borough,02275,Alaska,2502,817,"Ketchikan Gateway Borough, AK - Wrangell-Petersburg Cen, AK",25872,7.7,11.6,199.84,Medium,2022-03-17T07:00:00Z
Carter County,40019,Oklahoma,48111,474,"Carter, OK - Marshall, OK",86380,4.1,17.4,469.75,High,2022-07-28T07:00:00Z
Caddo County,40015,Oklahoma,28762,476,"Grady, OK - Caddo, OK",84596,2,2.4,340.73,Medium,2022-08-11T07:00:00Z
Clark County,18019,Indiana,118302,365,"Clark (Jeffersonville), IN - Scott, IN",142175,15.5,16.2,342.34,High,2022-07-28T07:00:00Z
St. Mary's County,24037,Maryland,113510,61,"Montgomery, MD - Prince Georges, MD",2942531,4.3,7,256.37,Medium,2022-06-02T07:00:00Z
Irwin County,13155,Georgia,9416,189,"Tift, GA - Ben Hill, GA",74745,0.8,2.7,10.62,Low,2022-05-26T07:00:00Z
Teton County,56039,Wyoming,23464,775,"Teton, WY - Lincoln, WY",53125,3.1,18.8,515.68,High,2022-07-21T07:00:00Z
Garfield County,49017,Utah,5051,707,"Clark (Las Vegas), NV - Washington, UT",2511266,5.7,13.9,138.59,Medium,2022-07-28T07:00:00Z
Clinton County,42035,Pennsylvania,38632,44,"Lycoming (Williamsport), PA - Clinton, PA",151931,6.4,15.8,220.02,High,2022-06-02T07:00:00Z
Holmes County,12059,Florida,19617,155,"Bay (Panama City), FL - Jackson, FL",293953,1.2,1,127.44,Low,2022-04-07T07:00:00Z
Mills County,19129,Iowa,15109,596,"Pottawattamie (Council Bluffs), IA - Harrison, IA",152150,0.9,3.3,19.86,Low,2022-04-07T07:00:00Z
Hooker County,31091,Nebraska,682,593,"Lincoln, NE - Keith, NE",47478,6.1,23.2,0,High,2022-06-23T07:00:00Z
Honolulu County,15003,Hawaii,974563,821,"Honolulu (Honolulu), HI - Maui, HI",1142066,1.3,3.6,90.6,Low,2022-04-07T07:00:00Z
West Carroll Parish,22123,Louisiana,10830,443,"Ouachita (Monroe), LA - Morehouse, LA",245899,0.1,4.1,9.23,Low,2022-05-12T07:00:00Z
Medina County,48325,Texas,51584,410,"Bexar (San Antonio), TX - Guadalupe, TX",2455997,1.3,5.4,54.28,Low,2022-06-02T07:00:00Z
Lorain County,39093,Ohio,309833,366,"Lorain (Lorain), OH - Erie, OH",500883,2.4,7.2,134.27,Low,2022-07-07T07:00:00Z
Clare County,26035,Michigan,30950,330,"Midland (Midland), MI - Isabella, MI",209427,2,5.3,25.85,Low,2022-03-24T07:00:00Z
Roanoke City,51770,Virginia,99143,14,"Roanoke City, VA - Roanoke, VA",592537,6.5,18.1,235.01,High,2022-08-25T07:00:00Z
Culebra Muni,72049,Puerto Rico,1714,904,Puerto Rico,3193694,3.5,6.6,58.34,Low,2022-09-01T07:00:00Z
Carbon County,42025,Pennsylvania,64182,84,"Lehigh (Allentown), PA - Northampton, PA",909056,2.1,5.4,79.46,Low,2022-04-28T07:00:00Z
Johnson County,29101,Missouri,54062,548,"Jackson (Kansas City), MO - Clay, MO",1310630,2.1,5.8,62.89,Low,2022-06-02T07:00:00Z
Chester County,42029,Pennsylvania,524989,28,"Philadelphia (Philadelphia), PA - Montgomery, PA",4134985,1.1,3.3,46.48,Low,2022-03-31T07:00:00Z
Charles County,24017,Maryland,163257,61,"Montgomery, MD - Prince Georges, MD",2942531,3.1,6.4,270.74,Medium,2022-05-19T07:00:00Z
Kingman County,20095,Kansas,7152,661,"Kingman, KS - Harper, KS",12588,5.2,23.8,209.73,High,2022-07-14T07:00:00Z
Sunflower County,28133,Mississippi,25110,487,"Bolivar, MS - Leflore, MS",91985,2.4,9.8,199.12,Low,2022-08-25T07:00:00Z
Brunswick County,37019,North Carolina,142820,168,"New Hanover (Wilmington), NC - Brunswick, NC",440353,5.1,4.3,81.22,Low,2022-03-17T07:00:00Z
Aurora County,46003,South Dakota,2751,615,"Davison, SD - Charles Mix, SD",51576,4.1,5.8,0,Low,2022-06-09T07:00:00Z
Lauderdale County,28075,Mississippi,74125,412,"Lauderdale, MS - Neshoba, MS",174560,1.1,10.3,107.93,Medium,2022-07-14T07:00:00Z
Tallahatchie County,28135,Mississippi,13809,422,"Coahoma, MS - Tallahatchie, MS",42725,1.7,4.7,7.24,Low,2022-03-17T07:00:00Z
Marion County,13197,Georgia,8359,166,"Muscogee (Columbus), GA - Russell, AL",328912,5.9,4.9,11.96,Low,2022-03-24T07:00:00Z
East Carroll Parish,22035,Louisiana,6861,443,"Ouachita (Monroe), LA - Morehouse, LA",245899,5,33.8,1515.81,High,2022-08-11T07:00:00Z
Delta County,48119,Texas,5331,438,"Lamar, TX - Choctaw, OK",81885,3.6,6.1,262.61,Medium,2022-07-07T07:00:00Z
Kauai County,15007,Hawaii,72293,822,"Kauai, HI",72293,9.9,8.3,283.57,Medium,2022-07-07T07:00:00Z
Grand Traverse County,26055,Michigan,93088,271,"Grand Traverse, MI - Manistee, MI",198535,2.8,10.1,98.83,Medium,2022-07-07T07:00:00Z
Divide County,38023,North Dakota,2264,579,"Williams, ND - McKenzie, ND",54877,0,0,0,Low,2022-04-28T07:00:00Z
Sweet Grass County,30097,Montana,3737,756,"Park, MT - Sweet Grass, MT",20343,0.6,4.9,0,Low,2022-03-24T07:00:00Z
Columbia County,12023,Florida,71686,159,"Alachua (Gainesville), FL - Columbia, FL",528345,1.6,5.9,2.79,Low,2022-03-31T07:00:00Z
New Castle County,10003,Delaware,558753,75,"New Castle (Wilmington), DE - Harford, MD",917049,4.5,9.8,240.18,Medium,2022-07-14T07:00:00Z
Grenada County,28043,Mississippi,20758,502,"Grenada, MS - Montgomery, MS",40480,0.2,2.5,4.82,Low,2022-03-24T07:00:00Z
Tolland County,09013,Connecticut,150721,4,"Hartford (Hartford), CT - Tolland, CT",1159223,3,7.2,55.73,Low,2022-03-03T07:00:00Z
Bullitt County,21029,Kentucky,81676,272,"Jefferson (Louisville), KY - Bullitt, KY",1077334,4.4,11.2,288.95,High,2022-07-28T07:00:00Z
Marshall County,27089,Minnesota,9336,604,"Pennington, MN - Marshall, MN",31808,4.3,9.4,342.76,Medium,2022-03-17T07:00:00Z
Beauregard Parish,22011,Louisiana,37497,470,"Calcasieu (Lake Charles), LA - Vernon, LA",326703,0.8,0.3,2.67,Low,2022-04-21T07:00:00Z
Faribault County,27043,Minnesota,13653,646,"Freeborn, MN - Faribault, MN",43934,6.4,13.7,175.79,Medium,2022-09-01T07:00:00Z
Humphreys County,47085,Tennessee,18582,148,"Davidson (Nashville-Davidson), TN - Williamson, TN",1142744,3,15.1,220.64,High,2022-07-14T07:00:00Z
Pike County,28113,Mississippi,39288,477,"Pike, MS - Marion, MS",90444,1,1.1,175.63,Low,2022-06-09T07:00:00Z
Webster County,54101,West Virginia,8114,7,"Kanawha (Charleston), WV - Putnam, WV",297149,4.3,14.1,271.14,High,2022-07-07T07:00:00Z
Storey County,32029,Nevada,4123,701,"Washoe (Reno), NV - Carson City, NV",692072,2.4,7.1,145.53,Low,2022-06-02T07:00:00Z
Richland County,39139,Ohio,121154,369,"Richland (Mansfield), OH - Ashland, OH",174638,6.9,10.3,262.48,High,2022-09-01T07:00:00Z
Worth County,13321,Georgia,20247,144,"Dougherty (Albany), GA - Lee, GA",175755,0.9,0,44.45,Low,2022-05-05T07:00:00Z
Miami County,39109,Ohio,106987,376,"Miami (Piqua), OH - Shelby, OH",155577,1.8,4.5,137.4,Low,2022-06-16T07:00:00Z
Peoria County,17143,Illinois,179179,277,"Peoria (Peoria), IL - Tazewell, IL",370119,1.4,9.5,65.3,Low,2022-03-10T07:00:00Z
Wells County,18179,Indiana,28296,332,"Huntington, IN - Adams, IN",121029,0.1,5.8,14.14,Low,2022-05-05T07:00:00Z
Harford County,24025,Maryland,255441,75,"New Castle (Wilmington), DE - Harford, MD",917049,4.6,7.7,65.38,Low,2022-02-24T07:00:00Z
Hardeman County,47069,Tennessee,25050,188,"Madison (Jackson), TN - Gibson, TN",260778,2.2,5,47.9,Low,2022-05-26T07:00:00Z
