county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_19_community_level,date_updated
Muskogee County,40101,Oklahoma,67997,445,"Muskogee, OK - Wagoner, OK",239733,2.6,5.8,48.53,Low,2022-06-02T07:00:00Z
San Germán Muni,72125,Puerto Rico,30227,904,Puerto Rico,3193694,0.4,1.6,43.01,Low,2022-04-07T07:00:00Z
Emporia City,51595,Virginia,5346,130,"Brunswick, VA - Greensville, VA",32913,4.1,18.2,168.35,Medium,2022-09-01T07:00:00Z
Weston County,56045,Wyoming,6927,804,"Weston, WY",6927,0.0,0.0,259.85,Medium,2022-08-25T07:00:00Z
Natrona County,56025,Wyoming,79858,726,"Natrona (Casper), WY - Converse, WY",93680,1,5.3,147.76,Low,2022-06-09T07:00:00Z
Knox County,31107,Nebraska,8332,578,"Yankton, SD - Clay, SD",67810,0.1,0,12,Low,2022-04-07T07:00:00Z
Bingham County,16011,Idaho,46811,696,"Bannock, ID - Bingham, ID",153986,1.6,4.5,89.72,Low,2022-06-16T07:00:00Z
Alamosa County,08003,Colorado,16233,731,"Alamosa, CO - Rio Grande, CO",47185,0,0,43.12,Low,2022-05-19T07:00:00Z
Union County,37179,North Carolina,239859,167,"Mecklenburg (Charlotte), NC - Union, NC",1374661,2.2,5.9,233.47,Medium,2022-06-02T07:00:00Z
Wyandot County,39175,Ohio,21772,354,"Marion, OH - Crawford, OH",222675,7.9,12.6,119.42,Medium,2022-07-21T07:00:00Z
Franklin County,16041,Idaho,13876,715,"Cache, UT - Franklin, ID",148290,0.9,10.8,144.13,Medium,2022-06-30T07:00:00Z
Wibaux County,30109,Montana,969,767,"Richland, MT - Dawson, MT",22049,2.3,13.6,0,Medium,2022-07-21T07:00:00Z
San Sebastián Muni,72131,Puerto Rico,35528,904,Puerto Rico,3193694,1.3,4.7,273.02,Medium,2022-04-21T07:00:00Z
Adams County,42001,Pennsylvania,103009,48,"York (York), PA - Frederick, MD",811614,1.2,0.7,48.54,Low,2022-04-14T07:00:00Z
Bonneville County,16019,Idaho,119062,722,"Bonneville, ID - Madison, ID",221838,0.5,0,5.04,Low,2022-04-07T07:00:00Z
Presque Isle County,26141,Michigan,12592,371,"Alpena, MI - Presque Isle, MI",60730,6,8.2,7.94,Low,2022-07-21T07:00:00Z
Bethel CA,02050,Alaska,18386,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",547697,4.5,13,788.64,High,2022-08-11T07:00:00Z
Floyd County,51063,Virginia,15749,14,"Roanoke City, VA - Roanoke, VA",592537,1.3,2.5,25.4,Low,2022-04-21T07:00:00Z
Linn County,19113,Iowa,226706,545,"Linn (Cedar Rapids), IA - Johnson, IA",491983,1,2.6,45.43,Low,2022-04-14T07:00:00Z
Trousdale County,47169,Tennessee,11284,231,"Sumner (Hendersonville), TN - Wilson, TN",391983,2.2,1.8,17.72,Low,2022-03-17T07:00:00Z
Banner County,31007,Nebraska,745,580,"Scotts Bluff, NE - Goshen, WY",69815,0.7,4.3,0,Low,2022-06-16T07:00:00Z
